iter	Passed	Remaining
793	2316	601
794	2320	598
795	2324	595
796	2326	592
797	2328	589
798	2331	586
799	2335	583
800	2338	581
801	2341	578
802	2343	574
803	2346	571
804	2351	569
805	2357	567
806	2360	564
807	2365	562
808	2370	559
809	2373	556
810	2377	554
811	2382	551
812	2386	549
813	2390	546
814	2393	543
815	2399	540
816	2408	539
817	2428	540
818	2432	537
819	2436	534
820	2446	533
821	2449	530
822	2451	527
823	2461	525
824	2464	522
825	2466	519
826	2470	516
827	2472	513
828	2475	510
829	2477	507
830	2479	504
831	2482	501
832	2484	498
833	2487	495
834	2491	492
835	2494	489
836	2496	486
837	2499	483
838	2502	480
839	2509	478
840	2512	474
841	2514	471
842	2516	468
843	2521	465
844	2524	463
845	2526	459
846	2529	456
847	2532	453
848	2540	451
849	2543	448
850	2548	446
851	2556	444
852	2560	441
853	2564	438
854	2569	435
855	2572	432
856	2575	429
857	2577	426
858	2581	423
859	2584	420
860	2588	417
861	2591	414
862	2595	411
863	2599	409
864	2602	406
865	2605	403
866	2609	400
867	2612	397
868	2615	394
869	2618	391
870	2621	388
871	2623	385
872	2627	382
873	2630	379
874	2632	376
875	2635	373
876	2638	370
877	2642	367
878	2645	364
879	2648	361
880	2651	358
881	2654	355
882	2657	352
883	2660	349
884	2663	346
885	2665	342
886	2668	339
887	2671	336
888	2674	333
889	2676	330
890	2679	327
891	2682	324
892	2684	321
893	2687	318
894	2689	315
895	2692	312
896	2694	309
897	2697	306
898	2700	303
899	2703	300
900	2706	297
901	2717	295
902	2720	292
903	2723	289
904	2725	286
905	2728	283
906	2731	280
907	2734	277
908	2736	273
909	2739	270
910	2741	267
911	2744	264
912	2748	261
913	2751	258
914	2753	255
915	2755	252
916	2758	249
917	2763	246
918	2766	243
919	2769	240
920	2771	237
921	2775	234
922	2778	231
923	2780	228
924	2783	225
925	2787	222
926	2791	219
927	2794	216
928	2796	213
929	2798	210
930	2800	207
931	2803	204
932	2807	201
933	2810	198
934	2812	195
935	2816	192
936	2818	189
937	2822	186
938	2824	183
939	2827	180
940	2829	177
941	2832	174
942	2836	171
943	2839	168
944	2841	165
945	2844	162
946	2847	159
947	2851	156
948	2854	153
949	2856	150
950	2861	147
951	2866	144
952	2869	141
953	2872	138
954	2874	135
955	2877	132
956	2879	129
957	2882	126
958	2885	123
959	2888	120
960	2890	117
961	2892	114
962	2896	111
963	2898	108
964	2901	105
965	2903	102
966	2906	99
967	2909	96
968	2913	93
969	2916	90
970	2918	87
971	2920	84
972	2923	81
973	2926	78
974	2929	75
975	2932	72
976	2934	69
977	2936	66
978	2939	63
979	2943	60
980	2945	57
981	2947	54
982	2950	51
983	2953	48
984	2958	45
985	2960	42
986	2963	39
987	2965	36
988	2968	33
989	2970	30
990	2973	27
991	2975	23
992	2978	20
993	2980	17
994	2982	14
995	2984	11
996	2988	8
997	2990	5
998	2992	2
999	2995	0
